Event	ID	Name			Wwise Object Path	Notes
	156328838	Ambience_Wind			\Default Work Unit\Ambients\2D\Ambience_Wind	
	979637522	A_Sea			\Default Work Unit\Ambients\3D\A_Sea	
	1032244605	A_TempleForest			\Default Work Unit\Ambients\2D\A_TempleForest	
	1441467767	A_Birds			\Default Work Unit\Ambients\2D\A_Birds	
	3210143353	A_Waterfall			\Default Work Unit\Ambients\3D\A_Waterfall	
	3439512362	Temple_Forest			\Default Work Unit\Ambients\3D\Temple_Forest	
	4102924034	A_MagicTree			\Default Work Unit\Ambients\3D\A_MagicTree	
	4201072473	Ambience_Bed			\Default Work Unit\Ambients\2D\Ambience_Bed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2470125	Amb_RustleTree_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_RustleTree_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Temple_Forest\Amb_RustleTree_01		943644
	25175370	Amb_Bird_07	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_07_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_07		715728
	31968340	AmbienceBed	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\AmbienceBed_D79FB2B7.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceBed\AmbienceBed		17994216
	34578301	Amb_Bird_15	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_15_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_15		726364
	36190111	Amb_Sea_Loop_01	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Sea_Loop_01_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Sea\Amb_Sea_Loop_01		1765930
	57114458	Amb_Sea_Loop_03	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Sea_Loop_03_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Sea\Amb_Sea_Loop_03		1764096
	65159045	Amb_RustleTree_03	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_RustleTree_03_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 3D\Temple_Forest\Amb_RustleTree_03		947992
	124195641	Amb_Bird_09	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_09_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_09		801572
	137113558	Amb_WindBed_Loop_04	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_WindBed_Loop_04_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\AmbienceWind_Beds\Amb_WindBed_Loop_04		3528096
	140423794	Amb_Bird_16	D:\BackupComputadorTimba\Timba\SacredTails\SacredTails\SacredTails_WwiseProject\.cache\Windows\SFX\Amb_Bird_16_10C4C929.wem		\Actor-Mixer Hierarchy\Ambiences\Ambience 2D\Birds\Amb_Bird_16		641244
